Item,Durchgang,Network,Entropy,Correlation
ages,rest1_s200,VIS,std_raw,"{'VIS': [[-0.1911166057123564], [0.000481463430793269], [0.008184878323485573]], 'SMN': [[-0.14453432619711926], [0.008552205869412835], [0.1453874997800182]], 'DAN': [[-0.18277676858995584], [0.0008503901797268332], [0.014456633055356164]], 'VAN': [[-0.12453253603958639], [0.023668019934385876], [0.4023563388845599]], 'LIM': [[-0.13233305188646055], [0.01615409152514877], [0.2746195559275291]], 'CON': [[-0.17717099755255442], [0.001229860524537868], [0.020907628917143754]], 'DMN': [[-0.14133018333686967], [0.010153322788860136], [0.17260648741062232]], 'Temp': [[-0.11986886685850993], [0.0294716886103134], [0.5010187063753277]]}"
ages,rest1_s200,SMN,std_raw,"{'VIS': [[-0.1911166057123564], [0.000481463430793269], [0.008184878323485573]], 'SMN': [[-0.14453432619711926], [0.008552205869412835], [0.1453874997800182]], 'DAN': [[-0.18277676858995584], [0.0008503901797268332], [0.014456633055356164]], 'VAN': [[-0.12453253603958639], [0.023668019934385876], [0.4023563388845599]], 'LIM': [[-0.13233305188646055], [0.01615409152514877], [0.2746195559275291]], 'CON': [[-0.17717099755255442], [0.001229860524537868], [0.020907628917143754]], 'DMN': [[-0.14133018333686967], [0.010153322788860136], [0.17260648741062232]], 'Temp': [[-0.11986886685850993], [0.0294716886103134], [0.5010187063753277]]}"
ages,rest1_s200,DAN,std_raw,"{'VIS': [[-0.1911166057123564], [0.000481463430793269], [0.008184878323485573]], 'SMN': [[-0.14453432619711926], [0.008552205869412835], [0.1453874997800182]], 'DAN': [[-0.18277676858995584], [0.0008503901797268332], [0.014456633055356164]], 'VAN': [[-0.12453253603958639], [0.023668019934385876], [0.4023563388845599]], 'LIM': [[-0.13233305188646055], [0.01615409152514877], [0.2746195559275291]], 'CON': [[-0.17717099755255442], [0.001229860524537868], [0.020907628917143754]], 'DMN': [[-0.14133018333686967], [0.010153322788860136], [0.17260648741062232]], 'Temp': [[-0.11986886685850993], [0.0294716886103134], [0.5010187063753277]]}"
ages,rest1_s200,VAN,std_raw,"{'VIS': [[-0.1911166057123564], [0.000481463430793269], [0.008184878323485573]], 'SMN': [[-0.14453432619711926], [0.008552205869412835], [0.1453874997800182]], 'DAN': [[-0.18277676858995584], [0.0008503901797268332], [0.014456633055356164]], 'VAN': [[-0.12453253603958639], [0.023668019934385876], [0.4023563388845599]], 'LIM': [[-0.13233305188646055], [0.01615409152514877], [0.2746195559275291]], 'CON': [[-0.17717099755255442], [0.001229860524537868], [0.020907628917143754]], 'DMN': [[-0.14133018333686967], [0.010153322788860136], [0.17260648741062232]], 'Temp': [[-0.11986886685850993], [0.0294716886103134], [0.5010187063753277]]}"
ages,rest1_s200,LIM,std_raw,"{'VIS': [[-0.1911166057123564], [0.000481463430793269], [0.008184878323485573]], 'SMN': [[-0.14453432619711926], [0.008552205869412835], [0.1453874997800182]], 'DAN': [[-0.18277676858995584], [0.0008503901797268332], [0.014456633055356164]], 'VAN': [[-0.12453253603958639], [0.023668019934385876], [0.4023563388845599]], 'LIM': [[-0.13233305188646055], [0.01615409152514877], [0.2746195559275291]], 'CON': [[-0.17717099755255442], [0.001229860524537868], [0.020907628917143754]], 'DMN': [[-0.14133018333686967], [0.010153322788860136], [0.17260648741062232]], 'Temp': [[-0.11986886685850993], [0.0294716886103134], [0.5010187063753277]]}"
ages,rest1_s200,CON,std_raw,"{'VIS': [[-0.1911166057123564], [0.000481463430793269], [0.008184878323485573]], 'SMN': [[-0.14453432619711926], [0.008552205869412835], [0.1453874997800182]], 'DAN': [[-0.18277676858995584], [0.0008503901797268332], [0.014456633055356164]], 'VAN': [[-0.12453253603958639], [0.023668019934385876], [0.4023563388845599]], 'LIM': [[-0.13233305188646055], [0.01615409152514877], [0.2746195559275291]], 'CON': [[-0.17717099755255442], [0.001229860524537868], [0.020907628917143754]], 'DMN': [[-0.14133018333686967], [0.010153322788860136], [0.17260648741062232]], 'Temp': [[-0.11986886685850993], [0.0294716886103134], [0.5010187063753277]]}"
ages,rest1_s200,DMN,std_raw,"{'VIS': [[-0.1911166057123564], [0.000481463430793269], [0.008184878323485573]], 'SMN': [[-0.14453432619711926], [0.008552205869412835], [0.1453874997800182]], 'DAN': [[-0.18277676858995584], [0.0008503901797268332], [0.014456633055356164]], 'VAN': [[-0.12453253603958639], [0.023668019934385876], [0.4023563388845599]], 'LIM': [[-0.13233305188646055], [0.01615409152514877], [0.2746195559275291]], 'CON': [[-0.17717099755255442], [0.001229860524537868], [0.020907628917143754]], 'DMN': [[-0.14133018333686967], [0.010153322788860136], [0.17260648741062232]], 'Temp': [[-0.11986886685850993], [0.0294716886103134], [0.5010187063753277]]}"
ages,rest1_s200,Temp,std_raw,"{'VIS': [[-0.1911166057123564], [0.000481463430793269], [0.008184878323485573]], 'SMN': [[-0.14453432619711926], [0.008552205869412835], [0.1453874997800182]], 'DAN': [[-0.18277676858995584], [0.0008503901797268332], [0.014456633055356164]], 'VAN': [[-0.12453253603958639], [0.023668019934385876], [0.4023563388845599]], 'LIM': [[-0.13233305188646055], [0.01615409152514877], [0.2746195559275291]], 'CON': [[-0.17717099755255442], [0.001229860524537868], [0.020907628917143754]], 'DMN': [[-0.14133018333686967], [0.010153322788860136], [0.17260648741062232]], 'Temp': [[-0.11986886685850993], [0.0294716886103134], [0.5010187063753277]]}"
ages,rest1_s200,VIS,roc_raw_squared,"{'VIS': [[-0.11078321117786284], [0.044321785934042034], [0.7534703608787146]], 'SMN': [[-0.048043235009879615], [0.3843334595961548], [1.0]], 'DAN': [[-0.08572826303576712], [0.12011655575414279], [1.0]], 'VAN': [[0.004547520392956856], [0.9344107204433519], [1.0]], 'LIM': [[-0.038131014466134934], [0.4900011599644114], [1.0]], 'CON': [[-0.08310197653802112], [0.13193861502705548], [1.0]], 'DMN': [[-0.0432106675721775], [0.43401025576395114], [1.0]], 'Temp': [[-0.02009319543618477], [0.7161098946298853], [1.0]]}"
ages,rest1_s200,SMN,roc_raw_squared,"{'VIS': [[-0.11078321117786284], [0.044321785934042034], [0.7534703608787146]], 'SMN': [[-0.048043235009879615], [0.3843334595961548], [1.0]], 'DAN': [[-0.08572826303576712], [0.12011655575414279], [1.0]], 'VAN': [[0.004547520392956856], [0.9344107204433519], [1.0]], 'LIM': [[-0.038131014466134934], [0.4900011599644114], [1.0]], 'CON': [[-0.08310197653802112], [0.13193861502705548], [1.0]], 'DMN': [[-0.0432106675721775], [0.43401025576395114], [1.0]], 'Temp': [[-0.02009319543618477], [0.7161098946298853], [1.0]]}"
