Item,Durchgang,Network,Entropy,Correlation
ages,rest1_s200,VIS,std_raw,"{'VIS': [[-0.1725071400981567], [0.0016581990377255984], [0.028189383641335174]], 'SMN': [[-0.13831902642301117], [0.011894565178271773], [0.20220760803062016]], 'DAN': [[-0.16106938546188806], [0.0033457164108427195], [0.05687717898432623]], 'VAN': [[-0.13568391409190106], [0.013629361184061897], [0.23169914012905224]], 'LIM': [[-0.15105825956643137], [0.005968778892900876], [0.10146924117931488]], 'CON': [[-0.17260152184047117], [0.0016483215660599159], [0.02802146662301857]], 'DMN': [[-0.16704190844258232], [0.0023316790836558966], [0.03963854442215024]], 'Temp': [[-0.13161560266472933], [0.01674500353823256], [0.2846650601499535]]}"
ages,rest1_s200,SMN,std_raw,"{'VIS': [[-0.1725071400981567], [0.0016581990377255984], [0.028189383641335174]], 'SMN': [[-0.13831902642301117], [0.011894565178271773], [0.20220760803062016]], 'DAN': [[-0.16106938546188806], [0.0033457164108427195], [0.05687717898432623]], 'VAN': [[-0.13568391409190106], [0.013629361184061897], [0.23169914012905224]], 'LIM': [[-0.15105825956643137], [0.005968778892900876], [0.10146924117931488]], 'CON': [[-0.17260152184047117], [0.0016483215660599159], [0.02802146662301857]], 'DMN': [[-0.16704190844258232], [0.0023316790836558966], [0.03963854442215024]], 'Temp': [[-0.13161560266472933], [0.01674500353823256], [0.2846650601499535]]}"
ages,rest1_s200,DAN,std_raw,"{'VIS': [[-0.1725071400981567], [0.0016581990377255984], [0.028189383641335174]], 'SMN': [[-0.13831902642301117], [0.011894565178271773], [0.20220760803062016]], 'DAN': [[-0.16106938546188806], [0.0033457164108427195], [0.05687717898432623]], 'VAN': [[-0.13568391409190106], [0.013629361184061897], [0.23169914012905224]], 'LIM': [[-0.15105825956643137], [0.005968778892900876], [0.10146924117931488]], 'CON': [[-0.17260152184047117], [0.0016483215660599159], [0.02802146662301857]], 'DMN': [[-0.16704190844258232], [0.0023316790836558966], [0.03963854442215024]], 'Temp': [[-0.13161560266472933], [0.01674500353823256], [0.2846650601499535]]}"
ages,rest1_s200,VAN,std_raw,"{'VIS': [[-0.1725071400981567], [0.0016581990377255984], [0.028189383641335174]], 'SMN': [[-0.13831902642301117], [0.011894565178271773], [0.20220760803062016]], 'DAN': [[-0.16106938546188806], [0.0033457164108427195], [0.05687717898432623]], 'VAN': [[-0.13568391409190106], [0.013629361184061897], [0.23169914012905224]], 'LIM': [[-0.15105825956643137], [0.005968778892900876], [0.10146924117931488]], 'CON': [[-0.17260152184047117], [0.0016483215660599159], [0.02802146662301857]], 'DMN': [[-0.16704190844258232], [0.0023316790836558966], [0.03963854442215024]], 'Temp': [[-0.13161560266472933], [0.01674500353823256], [0.2846650601499535]]}"
ages,rest1_s200,LIM,std_raw,"{'VIS': [[-0.1725071400981567], [0.0016581990377255984], [0.028189383641335174]], 'SMN': [[-0.13831902642301117], [0.011894565178271773], [0.20220760803062016]], 'DAN': [[-0.16106938546188806], [0.0033457164108427195], [0.05687717898432623]], 'VAN': [[-0.13568391409190106], [0.013629361184061897], [0.23169914012905224]], 'LIM': [[-0.15105825956643137], [0.005968778892900876], [0.10146924117931488]], 'CON': [[-0.17260152184047117], [0.0016483215660599159], [0.02802146662301857]], 'DMN': [[-0.16704190844258232], [0.0023316790836558966], [0.03963854442215024]], 'Temp': [[-0.13161560266472933], [0.01674500353823256], [0.2846650601499535]]}"
ages,rest1_s200,CON,std_raw,"{'VIS': [[-0.1725071400981567], [0.0016581990377255984], [0.028189383641335174]], 'SMN': [[-0.13831902642301117], [0.011894565178271773], [0.20220760803062016]], 'DAN': [[-0.16106938546188806], [0.0033457164108427195], [0.05687717898432623]], 'VAN': [[-0.13568391409190106], [0.013629361184061897], [0.23169914012905224]], 'LIM': [[-0.15105825956643137], [0.005968778892900876], [0.10146924117931488]], 'CON': [[-0.17260152184047117], [0.0016483215660599159], [0.02802146662301857]], 'DMN': [[-0.16704190844258232], [0.0023316790836558966], [0.03963854442215024]], 'Temp': [[-0.13161560266472933], [0.01674500353823256], [0.2846650601499535]]}"
ages,rest1_s200,DMN,std_raw,"{'VIS': [[-0.1725071400981567], [0.0016581990377255984], [0.028189383641335174]], 'SMN': [[-0.13831902642301117], [0.011894565178271773], [0.20220760803062016]], 'DAN': [[-0.16106938546188806], [0.0033457164108427195], [0.05687717898432623]], 'VAN': [[-0.13568391409190106], [0.013629361184061897], [0.23169914012905224]], 'LIM': [[-0.15105825956643137], [0.005968778892900876], [0.10146924117931488]], 'CON': [[-0.17260152184047117], [0.0016483215660599159], [0.02802146662301857]], 'DMN': [[-0.16704190844258232], [0.0023316790836558966], [0.03963854442215024]], 'Temp': [[-0.13161560266472933], [0.01674500353823256], [0.2846650601499535]]}"
ages,rest1_s200,Temp,std_raw,"{'VIS': [[-0.1725071400981567], [0.0016581990377255984], [0.028189383641335174]], 'SMN': [[-0.13831902642301117], [0.011894565178271773], [0.20220760803062016]], 'DAN': [[-0.16106938546188806], [0.0033457164108427195], [0.05687717898432623]], 'VAN': [[-0.13568391409190106], [0.013629361184061897], [0.23169914012905224]], 'LIM': [[-0.15105825956643137], [0.005968778892900876], [0.10146924117931488]], 'CON': [[-0.17260152184047117], [0.0016483215660599159], [0.02802146662301857]], 'DMN': [[-0.16704190844258232], [0.0023316790836558966], [0.03963854442215024]], 'Temp': [[-0.13161560266472933], [0.01674500353823256], [0.2846650601499535]]}"
ages,rest1_s200,VIS,roc_raw_squared,"{'VIS': [[-0.16300047979993085], [0.002980899288813429], [0.05067528790982829]], 'SMN': [[-0.10515384382305396], [0.05635766519595453], [0.958080308331227]], 'DAN': [[-0.13642250803793118], [0.013121982272619829], [0.22307369863453708]], 'VAN': [[-0.07309247666563154], [0.1853288246533372], [1.0]], 'LIM': [[-0.09373159252805936], [0.08913046934760643], [1.0]], 'CON': [[-0.1379682366358378], [0.012113647619631835], [0.2059320095337412]], 'DMN': [[-0.12502812131335198], [0.023113662350771027], [0.39293225996310743]], 'Temp': [[-0.07727305706205954], [0.16136270054253782], [1.0]]}"
ages,rest1_s200,SMN,roc_raw_squared,"{'VIS': [[-0.16300047979993085], [0.002980899288813429], [0.05067528790982829]], 'SMN': [[-0.10515384382305396], [0.05635766519595453], [0.958080308331227]], 'DAN': [[-0.13642250803793118], [0.013121982272619829], [0.22307369863453708]], 'VAN': [[-0.07309247666563154], [0.1853288246533372], [1.0]], 'LIM': [[-0.09373159252805936], [0.08913046934760643], [1.0]], 'CON': [[-0.1379682366358378], [0.012113647619631835], [0.2059320095337412]], 'DMN': [[-0.12502812131335198], [0.023113662350771027], [0.39293225996310743]], 'Temp': [[-0.07727305706205954], [0.16136270054253782], [1.0]]}"
